CVE,Uptime,Updated
CVE-2024-24246,2024-04-29T00:00:00,yes
CVE-2024-2400,2024-03-22T00:00:00,yes
CVE-2024-23982,2024-02-14T00:00:00,yes
CVE-2024-23979,2024-02-14T00:00:00,yes
CVE-2024-23976,2024-02-14T00:00:00,yes
CVE-2024-2397,2024-05-14T00:00:00,yes
CVE-2024-23944,2024-03-22T00:00:00,yes
CVE-2024-23917,2024-02-09T00:00:00,yes
CVE-2024-23897,2024-01-24T00:00:00,yes
CVE-2024-2389,2024-04-26T00:00:00,yes
CVE-2024-23849,2024-02-20T00:00:00,yes
CVE-2024-23835,2024-02-23T00:00:00,yes
CVE-2024-23811,2024-04-23T00:00:00,yes
CVE-2024-23805,2024-02-14T00:00:00,yes
CVE-2024-23722,2024-04-23T00:00:00,yes
CVE-2024-23678,2024-01-22T00:00:00,yes
CVE-2024-23677,2024-01-22T00:00:00,yes
CVE-2024-23676,2024-01-22T00:00:00,yes
CVE-2024-23675,2024-01-22T00:00:00,yes
CVE-2024-23672,2024-04-06T00:00:00,yes
CVE-2024-23652,2024-05-11T00:00:00,yes
CVE-2024-23651,2024-02-23T00:00:00,yes
CVE-2024-23638,2024-02-06T00:00:00,yes
CVE-2024-23608,2024-03-15T00:00:00,yes
CVE-2024-23603,2024-02-14T00:00:00,yes
CVE-2024-2357,2024-03-20T00:00:00,yes
CVE-2024-23473,2024-05-17T00:00:00,yes
CVE-2024-23446,2024-02-09T00:00:00,yes
CVE-2024-23334,2024-02-05T00:00:00,yes
CVE-2024-23314,2024-02-14T00:00:00,yes
CVE-2024-23308,2024-02-14T00:00:00,yes
CVE-2024-23301,2024-01-19T00:00:00,yes
CVE-2024-23296,2024-05-13T00:00:00,yes
CVE-2024-23229,2024-05-13T00:00:00,yes
CVE-2024-23222,2024-02-02T00:00:00,yes
CVE-2024-23206,2024-01-25T00:00:00,yes
CVE-2024-23203,2024-01-22T00:00:00,yes
CVE-2024-23170,2024-02-01T00:00:00,yes
CVE-2024-23113,2024-02-08T00:00:00,yes
CVE-2024-2307,2024-03-22T00:00:00,yes
CVE-2024-22871,2024-04-29T00:00:00,yes
CVE-2024-2279,2024-04-22T00:00:00,yes
CVE-2024-22667,2024-02-15T00:00:00,yes
CVE-2024-22640,2024-05-01T00:00:00,yes
CVE-2024-22563,2024-02-20T00:00:00,yes
CVE-2024-22448,2024-04-19T00:00:00,yes
CVE-2024-2243,2024-04-29T00:00:00,yes
CVE-2024-22428,2024-02-01T00:00:00,yes
CVE-2024-22420,2024-02-02T00:00:00,yes
CVE-2024-22403,2024-05-01T00:00:00,yes
