0,1,2
185630.0,,
185629.0,,
185628.0,,
185627.0,,
185626.0,,
185625.0,,
185624.0,,
185623.0,,
185622.0,,
185621.0,,
185620.0,,
185619.0,,
185618.0,,
185617.0,,
185616.0,,
185615.0,,
185614.0,,
185613.0,,
185612.0,,
185611.0,,
185610.0,,
185609.0,,
185608.0,,
185607.0,,
185606.0,,
185605.0,,
185604.0,,
185603.0,,
185602.0,,
185601.0,,
185600.0,,
185599.0,,
185598.0,,
184598.0,,
183598.0,,
182598.0,,
181598.0,,
180598.0,,
179598.0,,
178598.0,,
177598.0,,
176598.0,,
175598.0,,
174598.0,,
173598.0,,
172598.0,,
171598.0,,
170598.0,,
169598.0,,
168598.0,,
167598.0,,
166598.0,,
165598.0,,
164598.0,,
163598.0,,
162598.0,,
161598.0,,
160598.0,,
159598.0,,
158598.0,,
157598.0,,
156598.0,,
155598.0,,
154598.0,,
153598.0,,
152598.0,,
151598.0,,
150598.0,,
149598.0,,
148598.0,,
147598.0,,
146598.0,,
145598.0,,
144598.0,,
143598.0,,
142598.0,,
141598.0,,
140598.0,,
139598.0,,
138598.0,,
137598.0,,
136598.0,,
135598.0,,
134598.0,,
133598.0,,
132598.0,,
131598.0,,
130598.0,,
129598.0,,
128598.0,,
127598.0,,
126598.0,,
125598.0,,
124598.0,,
123598.0,,
122598.0,,
121598.0,,
120598.0,,
119598.0,,
118598.0,,
117598.0,,
111598.0,,
110598.0,,
109598.0,,
108598.0,,
107598.0,,
106598.0,,
105598.0,,
104598.0,,
103598.0,,
102598.0,,
101598.0,,
100598.0,,
99598.0,,
97598.0,,
96598.0,,
95598.0,,
94598.0,,
93598.0,,
92598.0,,
91598.0,,
90598.0,,
89598.0,,
88598.0,,
166789.0,,
166960.0,,
166965.0,,
166808.0,,
167841.0,,
166959.0,,
166773.0,,
184529.0,,
166781.0,,
166782.0,,
186284.0,,
186283.0,,
186282.0,,
186281.0,,
186280.0,,
186279.0,,
186278.0,,
186277.0,,
186276.0,,
186275.0,,
186274.0,,
186273.0,,
186272.0,,
186271.0,,
186270.0,,
186269.0,,
186268.0,,
186267.0,,
186266.0,,
186265.0,,
186264.0,,
186263.0,,
186262.0,,
186261.0,,
186260.0,,
186259.0,,
186258.0,,
186257.0,,
186256.0,,
186255.0,,
186254.0,,
186253.0,,
186252.0,,
186251.0,,
186250.0,,
186249.0,,
186248.0,,
186247.0,,
186246.0,,
186245.0,,
186244.0,,
186243.0,,
186242.0,,
186241.0,,
186240.0,,
186239.0,,
186238.0,,
186237.0,,
186236.0,,
186235.0,,
186234.0,,
186233.0,,
186232.0,,
186231.0,,
186230.0,,
186229.0,,
186228.0,,
186227.0,,
186226.0,,
186225.0,,
186224.0,,
186223.0,,
186222.0,,
186221.0,,
186220.0,,
186219.0,,
186218.0,,
186217.0,,
186216.0,,
186215.0,,
186214.0,,
186213.0,,
186212.0,,
186211.0,,
186210.0,,
186209.0,,
186208.0,,
186207.0,,
186206.0,,
186205.0,,
186204.0,,
186203.0,,
186202.0,,
186201.0,,
186200.0,,
186199.0,,
186198.0,,
186197.0,,
186196.0,,
186195.0,,
186194.0,,
186193.0,,
186192.0,,
186191.0,,
186190.0,,
186189.0,,
186188.0,,
186187.0,,
186186.0,,
186185.0,,
186184.0,,
186183.0,,
186182.0,,
186181.0,,
186180.0,,
186179.0,,
186178.0,,
186177.0,,
186176.0,,
186175.0,,
186174.0,,
186173.0,,
186172.0,,
186171.0,,
186170.0,,
186169.0,,
186168.0,,
186167.0,,
186166.0,,
186165.0,,
186164.0,,
186163.0,,
186162.0,,
186161.0,,
186160.0,,
186159.0,,
186158.0,,
186157.0,,
186156.0,,
186155.0,,
186154.0,,
186153.0,,
186152.0,,
186151.0,,
186150.0,,
186149.0,,
186148.0,,
186471.0,,
186470.0,,
186469.0,,
,186525.0,
,186524.0,
,186523.0,
,186522.0,
,186521.0,
,186520.0,
,,186519.0
,,186518.0
,,186517.0
,,186516.0
,,186515.0
,,186514.0
,,186513.0
,,186512.0
,,186511.0
,,186510.0
,,186509.0
,,186508.0
,,186507.0
,,186506.0
,,186505.0
,,186504.0
,,186503.0
,,186502.0
,,186501.0
,,186500.0
,,186499.0
,,186498.0
,,186497.0
,,186496.0
,,186495.0
,,186494.0
,,186493.0
,,186492.0
,,186491.0
,,186490.0
,,186489.0
,,186488.0
,,186487.0
,,186486.0
,,186485.0
,,186484.0
,,186483.0
,,186482.0
,,186481.0
,,186480.0
,,186479.0
,,186478.0
,,186477.0
,,186476.0
,,186475.0
,,186474.0
,,186473.0
,,186472.0
,,186468.0
,,186467.0
,,186466.0
,,186465.0
,,186464.0
,,186463.0
,,186462.0
,,186461.0
,,186460.0
,,186459.0
,,186458.0
,,186457.0
,,186456.0
,,186455.0
,,186454.0
,,186453.0
,,186452.0
,,186451.0
,,186450.0
,,186449.0
,,186448.0
,,186447.0
,,186446.0
,,186445.0
,,186444.0
,,186443.0
,,186442.0
,,186441.0
,,186440.0
,,186439.0
,,186438.0
,,186437.0
,,186436.0
,,186435.0
,,186434.0
,,186433.0
,,186432.0
,,186431.0
,,186430.0
,,186429.0
,,186428.0
,,186427.0
,,186426.0
,,186425.0
,,186424.0
,,186423.0
,,186422.0
,,186421.0
,,186420.0
,,186419.0
,,186418.0
,,186417.0
,,186416.0
